Type;ESL-3;
Version;1.83 SP1;
Date;13.Nov 17;
Mode;Receiver;
Start;150000.000000;Hz
Stop;30000000.000000;Hz
x-Axis;LOG;
Scan Count;1;
Transducer;;;;;;;;
Scan 1:
Start;150000.000000;Hz
Stop;30000000.000000;Hz
Step;4000.000000;Hz
RBW;9000.000000;Hz
Meas Time;0.050000;s
Auto Ranging;OFF;
RF Att;10.000000;dB
Auto Preamp;OFF;
Preamp;0.000000;dB
TRACE 1 FINAL:
Trace Mode;CLR/WRITE;
Final Detector;QUASI PEAK;
x-Unit;Hz;
y-Unit;dBµV;
Final Meas Time;2.000000;s
Margin;6.000000;dB
Values;13;
1;158000.000000;88.140000;22.571569;;
2;158000.000000;51.480000;-4.088431;;
1;214000.000000;79.440000;16.391402;;
2;218000.000000;41.540000;-11.354782;;
1;242000.000000;75.250000;13.222701;;
1;318000.000000;71.750000;11.991138;;
1;374000.000000;69.980000;11.568382;;
1;418000.000000;64.550000;7.062203;;
1;5618000.000000;71.240000;11.240000;;
1;5634000.000000;79.720000;19.720000;;
2;5634000.000000;44.100000;-5.900000;;
1;6342000.000000;70.890000;10.890000;;
1;11758000.000000;67.010000;7.010000;;
